scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Falco hypoleucos,Grey Falcon,Vulnerable,Animalia,Aves,1,1,1,1,1,0,1,1,Birds
Falcunculus frontatus whitei,"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,Animalia,Aves,0,0,1,0,0,0,0,1,Birds
Fimbristylis adjuncta,-,Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Floydia praealta,"Ball Nut, Possum Nut, Big Nut, Beefwood",Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Fontainea australis,Southern Fontainea,Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Fontainea oraria,Coastal Fontainea,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Fontainea rostrata,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
"Fontainea sp. Coffs Harbour (A.S.Benwell 341, NSW1102027)",-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Fontainea venosa,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Frankenia conferta,Silky Frankenia,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Frankenia parvula,Short-leaved Frankenia,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Frankenia plicata,-,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Animalia,Aves,0,0,0,0,0,0,0,0,Birds
Fregetta grallaria grallaria,"White-bellied Storm-Petrel (Tasman Sea), White-bellied Storm-Petrel (Australasian)",Vulnerable,Animalia,Aves,0,1,0,1,0,1,1,0,Birds
Furina dunmalli,Dunmall's Snake,Vulnerable,Animalia,Reptilia,0,1,0,1,0,0,0,0,Reptiles
Gadopsis sp. SWV,Western Victorian Blackfish,Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias aequipinnis,East Gippsland Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias auratus,Golden Galaxias,Endangered,Animalia,Actinopterygii,0,0,0,0,0,1,0,0,Fish
Galaxias brevissimus,Short-tail Galaxias,Critically Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,0,0,Fish
Galaxias fontanus,Swan Galaxias,Endangered,Animalia,Actinopterygii,0,0,0,0,0,1,0,0,Fish
Galaxias fuscus,Barred Galaxias,Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias gunaikurnai,Shaw Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias johnstoni,Clarence Galaxias,Endangered,Animalia,Actinopterygii,0,0,0,0,0,1,0,0,Fish
Galaxias lanceolatus,Tapered Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias longifundus,West Gippsland Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
